auroc,auprc,brier,sens_at_spec90,f1_at_0.5,fold,model,feature_set,n_train,n_val
0.6769201228878649,0.3443640635841456,0.23986488368104722,0.3142857142857143,0.3392226148409894,0,logreg,A_baseline,1766,442
0.6946467661691542,0.27824290445359207,0.21993627974633043,0.23880597014925373,0.368,1,logreg,A_baseline,1766,442
0.5646494708994709,0.1980103942982867,0.23409655393431772,0.140625,0.23045267489711935,2,logreg,A_baseline,1766,442
0.5992693373645754,0.17422602066822404,0.23014638457496941,0.14285714285714285,0.2643171806167401,3,logreg,A_baseline,1767,441
0.5408795962509012,0.18371842356342272,0.24496238840497989,0.07894736842105263,0.2766798418972332,4,logreg,A_baseline,1767,441
0.6606566820276498,0.2631482444183982,0.12763092477375565,0.2571428571428571,0.0,0,random_forest,A_baseline,1766,442
0.6699502487562189,0.2509448732255653,0.12301918834841628,0.208955223880597,0.0,1,random_forest,A_baseline,1766,442
0.6218998015873016,0.20900788428466477,0.1225231052036199,0.15625,0.0,2,random_forest,A_baseline,1766,442
0.6551398337112623,0.21393634440670323,0.118984552154195,0.14285714285714285,0.0,3,random_forest,A_baseline,1767,441
0.6014419610670512,0.2231884465409834,0.14322706916099776,0.10526315789473684,0.0,4,random_forest,A_baseline,1767,441
0.6665898617511521,0.3121503021100615,0.13137894165263148,0.32857142857142857,0.20224719101123595,0,hist_gradient_boosting,A_baseline,1766,442
0.6198208955223881,0.22866930605343982,0.1434037292251739,0.208955223880597,0.06976744186046512,1,hist_gradient_boosting,A_baseline,1766,442
0.6262400793650794,0.2216990934828863,0.135959521303526,0.15625,0.12048192771084337,2,hist_gradient_boosting,A_baseline,1766,442
0.6525153271185017,0.21143886472656664,0.13360886925363988,0.15873015873015872,0.05333333333333334,3,hist_gradient_boosting,A_baseline,1767,441
0.598594087959625,0.23045830028100173,0.15834261175492748,0.18421052631578946,0.045454545454545456,4,hist_gradient_boosting,A_baseline,1767,441
0.6807219662058372,0.3413646599597704,0.2364021709697793,0.2714285714285714,0.3487544483985765,0,logreg,B_baseline_plus_postop,1766,442
0.6920199004975125,0.27642468913246543,0.2190827301128106,0.26865671641791045,0.3643724696356275,1,logreg,B_baseline_plus_postop,1766,442
0.5730820105820106,0.20104011746324016,0.2322624814349219,0.171875,0.23829787234042554,2,logreg,B_baseline_plus_postop,1766,442
0.5974636768287562,0.1730326708677326,0.2292264638441396,0.1111111111111111,0.26126126126126126,3,logreg,B_baseline_plus_postop,1767,441
0.5489906272530641,0.18802967012343472,0.24709343755201466,0.09210526315789473,0.27450980392156865,4,logreg,B_baseline_plus_postop,1767,441
0.6749039938556067,0.29421134729122295,0.12633694852941177,0.3142857142857143,0.0,0,random_forest,B_baseline_plus_postop,1766,442
0.6673233830845771,0.24967496174457662,0.12334013009049774,0.22388059701492538,0.0,1,random_forest,B_baseline_plus_postop,1766,442
0.6110077711640212,0.21462065438414352,0.12300675904977376,0.21875,0.0,2,random_forest,B_baseline_plus_postop,1766,442
0.6494289073654154,0.22900962950933312,0.11872304421768708,0.12698412698412698,0.0,3,random_forest,B_baseline_plus_postop,1767,441
0.597548666186013,0.21403137704373823,0.1432263605442177,0.10526315789473684,0.0,4,random_forest,B_baseline_plus_postop,1767,441
0.6695084485407067,0.3325292469348433,0.1286277641354642,0.3142857142857143,0.20930232558139536,0,hist_gradient_boosting,B_baseline_plus_postop,1766,442
0.6229651741293533,0.2194483062295927,0.13993155886654626,0.19402985074626866,0.07792207792207792,1,hist_gradient_boosting,B_baseline_plus_postop,1766,442
0.6247519841269842,0.25689512558373817,0.13198334894531405,0.171875,0.15584415584415584,2,hist_gradient_boosting,B_baseline_plus_postop,1766,442
0.6610817166372722,0.24989253780480097,0.1283885015049617,0.14285714285714285,0.08333333333333333,3,hist_gradient_boosting,B_baseline_plus_postop,1767,441
0.6147801009372746,0.2284515374035262,0.16065766392030917,0.21052631578947367,0.045454545454545456,4,hist_gradient_boosting,B_baseline_plus_postop,1767,441
0.6239631336405531,0.27012765928887456,0.23743988660857598,0.22857142857142856,0.3203125,0,logreg,C_all,1766,442
0.6725970149253732,0.28058178574950987,0.22666984616058913,0.31343283582089554,0.3373493975903614,1,logreg,C_all,1766,442
0.5689897486772487,0.18530025767175476,0.22675549971720554,0.171875,0.2488479262672811,2,logreg,C_all,1766,442
0.5876795162509447,0.18154643451943991,0.2257506169427658,0.14285714285714285,0.24644549763033174,3,logreg,C_all,1767,441
0.5600937274693583,0.19712633885457265,0.24251095857219843,0.09210526315789473,0.29045643153526973,4,logreg,C_all,1767,441
0.6273809523809525,0.23960245341872133,0.1301489819004525,0.2,0.0,0,random_forest,C_all,1766,442
0.6599203980099503,0.21963693155908018,0.12438567590497737,0.19402985074626866,0.0,1,random_forest,C_all,1766,442
0.5900504298941799,0.19003048781537357,0.12436054864253392,0.171875,0.0,2,random_forest,C_all,1766,442
0.665511883765852,0.23903145363938086,0.1177000992063492,0.15873015873015872,0.0,3,random_forest,C_all,1767,441
0.6228010093727468,0.2458525571541896,0.140021910430839,0.17105263157894737,0.0,4,random_forest,C_all,1767,441
0.6625576036866359,0.34525911395964637,0.12904333953374142,0.34285714285714286,0.19047619047619047,0,hist_gradient_boosting,C_all,1766,442
0.6137711442786069,0.20642028265696433,0.14182022316991671,0.208955223880597,0.02702702702702703,1,hist_gradient_boosting,C_all,1766,442
0.6199156746031745,0.2312265151028615,0.13437138298625376,0.21875,0.1038961038961039,2,hist_gradient_boosting,C_all,1766,442
0.6333669270177207,0.22007955667228934,0.13111100532135447,0.15873015873015872,0.08571428571428572,3,hist_gradient_boosting,C_all,1767,441
0.6356524873828406,0.2627349656955289,0.1562470164763616,0.21052631578947367,0.08888888888888889,4,hist_gradient_boosting,C_all,1767,441
